ref_area,indicator,source,sex,classif1,time,obs_value,obs_status,note_indicator,note_source
ARG,SDG_0831_SEX_ECO_RT,BA:150,SEX_F,ECO_AGNAG_TOTAL,2011,48.9,,I13:3888,R1:3513_S4:33
ARG,SDG_0831_SEX_ECO_RT,BA:150,SEX_F,ECO_AGNAG_AGR,2011,69.6,,I13:3888,R1:3513_S4:33
ARG,SDG_0831_SEX_ECO_RT,BA:150,SEX_F,ECO_AGNAG_NAG,2011,48.9,,I13:3888,R1:3513_S4:33
ARG,SDG_0831_SEX_ECO_RT,BA:150,SEX_T,ECO_AGNAG_TOTAL,2010,48.9,,I13:3888,R1:3513_S4:33
ARG,SDG_0831_SEX_ECO_RT,BA:150,SEX_T,ECO_AGNAG_AGR,2010,78.9,,I13:3888,R1:3513_S4:33
ARG,SDG_0831_SEX_ECO_RT,BA:150,SEX_T,ECO_AGNAG_NAG,2010,48.5,,I13:3888,R1:3513_S4:33
ARG,SDG_0831_SEX_ECO_RT,BA:150,SEX_M,ECO_AGNAG_TOTAL,2010,48.3,,I13:3888,R1:3513_S4:33
ARG,SDG_0831_SEX_ECO_RT,BA:150,SEX_M,ECO_AGNAG_AGR,2010,80.3,,I13:3888,R1:3513_S4:33
ARG,SDG_0831_SEX_ECO_RT,BA:150,SEX_M,ECO_AGNAG_NAG,2010,47.6,,I13:3888,R1:3513_S4:33
ARG,SDG_0831_SEX_ECO_RT,BA:150,SEX_F,ECO_AGNAG_TOTAL,2010,49.8,,I13:3888,R1:3513_S4:33
ARG,SDG_0831_SEX_ECO_RT,BA:150,SEX_F,ECO_AGNAG_AGR,2010,69.6,,I13:3888,R1:3513_S4:33
ARG,SDG_0831_SEX_ECO_RT,BA:150,SEX_F,ECO_AGNAG_NAG,2010,49.8,,I13:3888,R1:3513_S4:33
